Date : 2025-06-25 08:54:07
Directory : c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend
Total : 523 files,  -67138 codes, -5266 comments, -17308 blanks, all -89712 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\monitoring\task_monitor.py                                                             | Python             |       -483 |        -29 |       -124 |       -636 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\schemas\component.py                                                                   | Python             |        -57 |         -2 |        -12 |        -71 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\schemas\drawing.py                                                                     | Python             |       -148 |          0 |        -21 |       -169 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\schemas\task.py                                                                        | Python             |         -7 |          0 |         -1 |         -8 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\schemas\user.py                                                                        | Python             |        -28 |          0 |        -10 |        -38 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\REFACTORING_SUMMARY.md                                                        | Markdown           |       -132 |          0 |        -35 |       -167 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\__init__.py                                                                   | Python             |        -14 |         -4 |         -4 |        -22 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\adaptive_slicing_engine.py                                                    | Python             |       -282 |        -11 |        -58 |       -351 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\ai\__init__.py                                                                | Python             |        -63 |         -9 |        -18 |        -90 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\ai\ai_analyzer_core.py                                                        | Python             |       -188 |        -22 |        -46 |       -256 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\ai\ai_image_processor.py                                                      | Python             |       -218 |        -26 |        -67 |       -311 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\ai\ai_prompt_builder.py                                                       | Python             |       -269 |        -35 |        -39 |       -343 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\ai_analyzer.py                                                                | Python             |     -1,669 |       -164 |       -345 |     -2,178 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\ai_analyzer_refactored.py                                                     | Python             |       -150 |        -15 |        -43 |       -208 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\atlas_recognition_engine.py                                                   | Python             |       -477 |        -49 |        -86 |       -612 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\auth.py                                                                       | Python             |       -212 |        -11 |        -39 |       -262 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\contextual_slice_analyzer.py                                                  | Python             |       -546 |        -38 |       -121 |       -705 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\cross_modal_validation_engine.py                                              | Python             |       -375 |        -31 |        -90 |       -496 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\drawing_analysis_orchestrator.py                                              | Python             |       -402 |        -23 |        -87 |       -512 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\drawing_tasks\__init__.py                                                     | Python             |        -95 |        -16 |        -15 |       -126 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\drawing_tasks\drawing_image_processor.py                                      | Python             |       -286 |        -24 |        -67 |       -377 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\drawing_tasks\drawing_result_manager.py                                       | Python             |       -267 |        -26 |        -73 |       -366 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\drawing_tasks\drawing_tasks_core.py                                           | Python             |       -237 |        -23 |        -58 |       -318 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\dual_storage_service.py                                                       | Python             |       -503 |        -50 |       -112 |       -665 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\dwg_processing\__init__.py                                                    | Python             |        -14 |         -6 |         -4 |        -24 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\dwg_processing\converters\__init__.py                                         | Python             |          0 |          0 |         -1 |         -1 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\dwg_processing\converters\dwg_converter.py                                    | Python             |       -156 |        -15 |        -40 |       -211 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\dwg_processing\converters\file_validator.py                                   | Python             |       -136 |        -12 |        -41 |       -189 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\dwg_processing\core\__init__.py                                               | Python             |         -5 |         -2 |         -2 |         -9 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\dwg_processing\core\dwg_processor.py                                          | Python             |       -171 |        -15 |        -36 |       -222 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\dwg_processing\detectors\__init__.py                                          | Python             |         -6 |         -2 |         -2 |        -10 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\dwg_processing\detectors\frame_detector.py                                    | Python             |          0 |          0 |         -1 |         -1 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\dwg_processing\detectors\frame_info_extractor.py                              | Python             |        -99 |         -6 |         -8 |       -113 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\dwg_processing\detectors\frame_validator.py                                   | Python             |       -296 |        -31 |        -74 |       -401 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\dwg_processing\detectors\text_parser.py                                       | Python             |       -239 |        -12 |        -67 |       -318 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\dwg_processing\exporters\__init__.py                                          | Python             |         -6 |         -2 |         -2 |        -10 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\dwg_processing\exporters\image_renderer.py                                    | Python             |       -237 |        -14 |        -45 |       -296 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\dwg_processing\processors\__init__.py                                         | Python             |         -7 |         -2 |         -2 |        -11 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\dwg_processing\processors\component_calculator.py                             | Python             |       -137 |         -7 |        -27 |       -171 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\dwg_processing\processors\summary_generator.py                                | Python             |       -172 |         -8 |        -35 |       -215 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\dwg_processing\utils\__init__.py                                              | Python             |         -5 |         -8 |         -3 |        -16 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\dwg_processing\utils\frame_sorting.py                                         | Python             |         -7 |         -1 |         -1 |         -9 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\dwg_processing\utils\frame_utils.py                                           | Python             |         -3 |         -3 |         -1 |         -7 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\dwg_processor.py                                                              | Python             |        -95 |         -8 |        -16 |       -119 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\dwg_processor_legacy.py                                                       | Python             |     -2,503 |       -326 |       -501 |     -3,330 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\dwg_to_pdf_converter.py                                                       | Python             |        -25 |         -2 |         -6 |        -33 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\enhanced_grid_slice_analyzer.py                                               | Python             |     -1,701 |       -175 |       -331 |     -2,207 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\export_service.py                                                             | Python             |       -172 |        -23 |        -49 |       -244 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\fallback_strategy.py                                                          | Python             |       -415 |        -20 |        -79 |       -514 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\file_processor.py                                                             | Python             |       -334 |        -32 |        -87 |       -453 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\grid_slice\__init__.py                                                        | Python             |        -90 |         -9 |        -13 |       -112 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\grid_slice\grid_slice_analyzer_core.py                                        | Python             |       -233 |        -23 |        -40 |       -296 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\grid_slice\grid_slice_coordinate_manager.py                                   | Python             |       -155 |        -14 |        -43 |       -212 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\grid_slice\grid_slice_ocr_processor.py                                        | Python             |       -324 |        -34 |        -67 |       -425 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\grid_slice\grid_slice_result_merger.py                                        | Python             |       -253 |        -36 |        -70 |       -359 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\grid_slice\grid_slice_vision_analyzer.py                                      | Python             |       -196 |        -15 |        -40 |       -251 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\grid_slice_analyzer.py                                                        | Python             |       -518 |        -52 |       -125 |       -695 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\image_preprocessor.py                                                         | Python             |       -167 |        -36 |        -54 |       -257 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\intelligent_fusion_engine.py                                                  | Python             |       -420 |        -42 |       -118 |       -580 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\intelligent_image_slicer.py                                                   | Python             |       -545 |        -63 |       -139 |       -747 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\ocr\__init__.py                                                               | Python             |        -11 |         -1 |         -2 |        -14 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\ocr\construction_corrector.py                                                 | Python             |        -56 |         -7 |        -13 |        -76 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\ocr\construction_text_corrector.py                                            | Python             |       -402 |        -52 |        -91 |       -545 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\ocr\image_enhancer.py                                                         | Python             |       -305 |        -65 |       -102 |       -472 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\ocr\paddle_ocr.py                                                             | Python             |       -661 |        -84 |       -135 |       -880 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\ocr\paddle_ocr_service.py                                                     | Python             |       -263 |        -19 |        -59 |       -341 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\ocr\paddle_ocr_with_slicing.py                                                | Python             |       -516 |        -43 |       -116 |       -675 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\ocr_result_corrector.py                                                       | Python             |       -479 |        -64 |        -92 |       -635 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\oda_converter.py                                                              | Python             |         -6 |         -1 |         -2 |         -9 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\openai_interaction_logger.py                                                  | Python             |       -339 |        -26 |        -68 |       -433 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\openai_vision_slicer.py                                                       | Python             |       -487 |        -38 |        -99 |       -624 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\optimized_batch_processor.py                                                  | Python             |       -267 |        -29 |        -64 |       -360 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\quantity_calculator.py                                                        | Python             |       -353 |        -20 |        -70 |       -443 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\result_merger_service.py                                                      | Python             |       -564 |        -68 |       -165 |       -797 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\result_mergers\__init__.py                                                    | Python             |        -12 |          0 |         -2 |        -14 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\result_mergers\enhanced_ocr_slice_merger.py                                   | Python             |       -451 |        -54 |       -136 |       -641 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\result_mergers\enhanced_paddleocr_merger.py                                   | Python             |       -576 |        -67 |       -165 |       -808 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\result_mergers\ocr_slice_merger.py                                            | Python             |       -365 |        -33 |        -92 |       -490 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\result_mergers\vision_ocr_fusion.py                                           | Python             |       -125 |        -17 |        -35 |       -177 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\result_mergers\vision_result_merger.py                                        | Python             |       -482 |        -59 |       -129 |       -670 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\result_mergers\vision_result_merger_enhanced.py                               | Python             |       -501 |        -53 |       -138 |       -692 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\s3_service.py                                                                 | Python             |       -592 |        -42 |       -133 |       -767 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\sealos_storage.py                                                             | Python             |       -309 |        -18 |        -80 |       -407 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\standardized_output_engine.py                                                 | Python             |       -491 |        -22 |       -103 |       -616 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\table_extractor.py                                                            | Python             |       -142 |        -23 |        -36 |       -201 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\test_enhanced_vision_components.py                                            | Python             |       -391 |        -26 |       -109 |       -526 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\unified_ocr_engine.py                                                         | Python             |       -198 |        -16 |        -32 |       -246 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\unified_ocr_pipeline.py                                                       | Python             |       -583 |        -19 |       -100 |       -702 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\unified_quantity_engine.py                                                    | Python             |        -45 |         -4 |        -12 |        -61 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\vision\__init__.py                                                            | Python             |        -42 |         -9 |        -10 |        -61 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\vision\vision_batch_processor.py                                              | Python             |       -266 |        -16 |        -53 |       -335 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\vision\vision_result_coordinator.py                                           | Python             |       -313 |        -34 |        -80 |       -427 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\vision\vision_scanner_core.py                                                 | Python             |       -136 |        -11 |        -29 |       -176 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\vision_analyzer.py                                                            | Python             |       -458 |        -13 |        -71 |       -542 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\vision_scanner.py                                                             | Python             |       -828 |       -109 |       -166 |     -1,103 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\vision_scanner_enhanced.py                                                    | Python             |       -297 |        -25 |        -69 |       -391 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\vision_scanner_refactored.py                                                  | Python             |        -59 |        -10 |        -17 |        -86 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\websocket_service.py                                                          | Python             |       -251 |        -35 |        -38 |       -324 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\services\websocket_service_v2.py                                                       | Python             |       -254 |        -14 |        -58 |       -326 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\tasks\__init__.py                                                                      | Python             |        -35 |         -9 |         -7 |        -51 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\tasks\analysis_tasks.py                                                                | Python             |        -63 |         -9 |        -13 |        -85 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\tasks\drawing_tasks.py                                                                 | Python             |       -917 |       -112 |       -184 |     -1,213 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\tasks\ocr_tasks.py                                                                     | Python             |        -88 |        -13 |        -17 |       -118 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\tasks\real_time_task_manager.py                                                        | Python             |       -598 |        -64 |       -126 |       -788 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\tasks\task_recovery.py                                                                 | Python             |       -163 |        -17 |        -39 |       -219 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\tasks\task_status_pusher.py                                                            | Python             |       -273 |        -18 |        -47 |       -338 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\utils\__init__.py                                                                      | Python             |          0 |         -1 |          0 |         -1 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\utils\analysis_optimizations.py                                                        | Python             |       -313 |        -17 |        -68 |       -398 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\utils\analysis_optimizations_backup.py                                                 | Python             |       -329 |        -13 |       -475 |       -817 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\utils\debug_tools.py                                                                   | Python             |       -116 |        -46 |        -30 |       -192 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\utils\file_utils.py                                                                    | Python             |        -39 |          0 |        -11 |        -50 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\app\utils\image_processing.py                                                              | Python             |        -98 |        -15 |        -36 |       -149 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\celery_worker.py                                                                           | Python             |        -97 |        -17 |        -27 |       -141 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\check_actual_data.py                                                                       | Python             |        -35 |         -2 |         -8 |        -45 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\check_celery_result.py                                                                     | Python             |        -48 |         -4 |        -12 |        -64 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\check_cloud_storage.py                                                                     | Python             |       -145 |        -16 |        -35 |       -196 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\check_data.py                                                                              | Python             |        -24 |         -5 |         -7 |        -36 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\check_data_structure.py                                                                    | Python             |        -41 |          0 |         -8 |        -49 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\check_database_schema.py                                                                   | Python             |        -64 |         -6 |        -18 |        -88 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\check_db.py                                                                                | Python             |         -9 |          0 |         -3 |        -12 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\check_drawing_3_data.py                                                                    | Python             |       -109 |        -12 |        -28 |       -149 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\check_drawing_exists.py                                                                    | Python             |        -25 |         -2 |         -6 |        -33 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\check_drawing_ocr.py                                                                       | Python             |        -30 |         -5 |         -4 |        -39 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\check_dual_track.py                                                                        | Python             |        -82 |        -10 |        -23 |       -115 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\check_file_details.py                                                                      | Python             |       -124 |        -18 |        -25 |       -167 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\check_image_source.py                                                                      | Python             |       -142 |        -19 |        -34 |       -195 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\check_multiple_databases.py                                                                | Python             |        -94 |         -8 |        -18 |       -120 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\check_ocr_data.py                                                                          | Python             |        -66 |         -2 |        -13 |        -81 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\check_ocr_details.py                                                                       | Python             |        -40 |         -2 |         -8 |        -50 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\check_openai_models.py                                                                     | Python             |        -52 |         -7 |        -14 |        -73 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\check_real_llm_result.py                                                                   | Python             |       -108 |        -16 |        -28 |       -152 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\check_real_ocr.py                                                                          | Python             |        -73 |         -8 |        -15 |        -96 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\check_s3_links.py                                                                          | Python             |        -17 |          0 |         -4 |        -21 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\check_s3_storage.py                                                                        | Python             |        -82 |         -7 |        -17 |       -106 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\check_sealos_config.py                                                                     | Python             |        -35 |         -4 |         -9 |        -48 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\check_sqlalchemy_db.py                                                                     | Python             |        -31 |         -4 |         -8 |        -43 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\check_table_schema.py                                                                      | Python             |         -9 |         -2 |         -4 |        -15 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\check_txt_results.py                                                                       | Python             |        -19 |          0 |         -4 |        -23 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\check_user_id.py                                                                           | Python             |        -57 |         -4 |        -11 |        -72 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\clear_browser_token.html                                                                   | HTML               |        -90 |          0 |        -10 |       -100 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\complete_fix_summary.md                                                                    | Markdown           |       -173 |          0 |        -50 |       -223 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\complete_raw_data_test_20250613_112217.json                                                | JSON               |        -36 |          0 |          0 |        -36 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\complete_raw_data_test_20250613_112243.json                                                | JSON               |        -36 |          0 |          0 |        -36 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\complete_raw_data_test_20250613_112307.json                                                | JSON               |        -36 |          0 |          0 |        -36 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\component_recognition_demo_results.json                                                    | JSON               |       -973 |          0 |          0 |       -973 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\convert_ocr_to_markdown.py                                                                 | Python             |       -191 |        -29 |        -43 |       -263 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\create_complex_demo.py                                                                     | Python             |        -67 |        -13 |        -18 |        -98 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\create_data_for_id2_and_3.py                                                               | Python             |       -186 |        -11 |        -13 |       -210 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\create_demo_image.py                                                                       | Python             |        -20 |         -6 |         -9 |        -35 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\create_drawing_4_with_dual_track.py                                                        | Python             |       -211 |        -12 |        -19 |       -242 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\create_dual_track_test_data.py                                                             | Python             |       -252 |        -13 |        -27 |       -292 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\create_enhanced_parser.py                                                                  | Python             |        -79 |         -8 |        -17 |       -104 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\create_real_llm_result.py                                                                  | Python             |       -171 |         -6 |        -14 |       -191 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\create_sqlite_dual_track_data.py                                                           | Python             |       -188 |        -12 |        -21 |       -221 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\create_tables.py                                                                           | Python             |        -19 |         -2 |         -4 |        -25 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\create_test_data.py                                                                        | Python             |        -77 |         -7 |        -16 |       -100 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\create_test_drawing.py                                                                     | Python             |       -107 |         -6 |        -11 |       -124 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\create_test_user.py                                                                        | Python             |        -39 |         -3 |         -5 |        -47 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\create_test_user_simple.py                                                                 | Python             |        -26 |         -3 |         -2 |        -31 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\create_test_with_ocr.py                                                                    | Python             |       -100 |         -7 |         -9 |       -116 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\debug_abc_data.py                                                                          | Python             |        -21 |         -2 |         -8 |        -31 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\debug_frontend_data.py                                                                     | Python             |        -97 |         -6 |        -15 |       -118 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\debug_import.py                                                                            | Python             |        -45 |         -9 |        -13 |        -67 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\debug_pdf_processing.py                                                                    | Python             |       -115 |        -13 |        -32 |       -160 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\debug_s3_download.py                                                                       | Python             |        -97 |         -9 |        -27 |       -133 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\debug_sealos_extraction_results.py                                                         | Python             |       -244 |        -22 |        -50 |       -316 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\debug_txt_storage.py                                                                       | Python             |       -129 |        -16 |        -36 |       -181 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\deep_search.py                                                                             | Python             |        -47 |          0 |        -13 |        -60 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\demo_ai_system.py                                                                          | Python             |       -209 |        -20 |        -41 |       -270 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\demo_ocr_formatting.py                                                                     | Python             |       -146 |        -15 |        -42 |       -203 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\demo_output\demo_report.json                                                               | JSON               |        -30 |          0 |          0 |        -30 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\demo_sealos_debug.py                                                                       | Python             |        -98 |        -16 |        -29 |       -143 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\demo_system.py                                                                             | Python             |       -270 |        -21 |        -54 |       -345 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\deploy_optimized_system.py                                                                 | Python             |       -367 |        -25 |        -69 |       -461 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\detection_results_sample_floorplan.json                                                    | JSON               |        -22 |          0 |          0 |        -22 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\direct_db_check.py                                                                         | Python             |        -41 |         -4 |         -8 |        -53 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\direct_worker_test.py                                                                      | Python             |        -74 |        -10 |        -18 |       -102 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\download_yolo_model.py                                                                     | Python             |        -41 |         -6 |        -14 |        -61 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\drawing_3_data.json                                                                        | JSON               |       -541 |          0 |          0 |       -541 |
